gene,evidence_tier,modality,tractability_bucket,supported,drug_or_clinical_candidate_count,source,retrieval_date
GLDC,Inflammatory_polyneuropathy,OC,Phase 1 Clinical,False,0,https://platform.opentargets.org/target/ENSG00000178445,2026-08-31
IDUA,Inflammatory_polyneuropathy,SM,Approved Drug,False,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,SM,Advanced Clinical,False,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,SM,Phase 1 Clinical,False,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,SM,Structure with Ligand,True,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,SM,High-Quality Ligand,False,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,SM,High-Quality Pocket,False,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,SM,Med-Quality Pocket,False,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,SM,Druggable Family,False,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,AB,Approved Drug,False,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,AB,Advanced Clinical,False,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,AB,Phase 1 Clinical,False,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,AB,UniProt loc high conf,False,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,AB,GO CC high conf,False,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,AB,UniProt loc med conf,False,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,AB,UniProt SigP or TMHMM,True,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,AB,GO CC med conf,False,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,AB,Human Protein Atlas loc,False,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,PR,Approved Drug,False,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,PR,Advanced Clinical,False,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
IDUA,Inflammatory_polyneuropathy,PR,Phase 1 Clinical,False,0,https://platform.opentargets.org/target/ENSG00000127415,2026-08-31
