program,gene,original_gene_id,sample,preparation,fpkm,source_url
Inflammatory adhesion,SELE,ENSG00000007908.15_2_SELE,P8_pHEnd_EC_basal,Cultured endothelial cells,5.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,SELE,ENSG00000007908.15_2_SELE,32P1,Laser captured normal microvessels,0.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,SELE,ENSG00000007908.15_2_SELE,203P1,Laser captured normal microvessels,0.09,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,SELE,ENSG00000007908.15_2_SELE,346P1,Laser captured normal microvessels,0.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,SELE,ENSG00000007908.15_2_SELE,347P1,Laser captured normal microvessels,7.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,SELP,ENSG00000174175.16_2_SELP,P3pHEnd_EC,Cultured endothelial cells,1.24,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,SELP,ENSG00000174175.16_2_SELP,P8_pHEnd_EC_basal,Cultured endothelial cells,1.4,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,SELP,ENSG00000174175.16_2_SELP,32P1,Laser captured normal microvessels,4.36,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,SELP,ENSG00000174175.16_2_SELP,203P1,Laser captured normal microvessels,0.92,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,SELP,ENSG00000174175.16_2_SELP,346P1,Laser captured normal microvessels,0.0,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
Inflammatory adhesion,SELP,ENSG00000174175.16_2_SELP,347P1,Laser captured normal microvessels,2.45,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107574/suppl/GSE107574_fpkm_gene_expression_values.xlsx.gz
