cell_group,gene,evidence_tier,n_CIDP,n_CIAP,mean_CIDP,mean_CIAP,delta_mean,p_value,fdr_within_cell_group
Macrophage,GLDC,Inflammatory_polyneuropathy,9,11,0.0333113995595503,0.0090794971154642,0.024231902444086,0.0076047242942408,0.0836519672366497
Macrophage,GNG7,CIDP,9,11,0.5028301779068304,0.465063692414834,0.0377664854919963,0.4474117020093185,0.546836524678056
Macrophage,IDUA,Inflammatory_polyneuropathy,9,11,0.0696620301491603,0.0814346377445174,-0.0117726075953571,0.6212956428903931,0.6834252071794323
Macrophage,ME1,Inflammatory_polyneuropathy,9,11,0.9178582662510744,1.2332943855245435,-0.3154361192734692,0.1488794936994691,0.4348445402667305
Macrophage,SLAMF9,Inflammatory_polyneuropathy,9,11,0,0.0009403608643523,-0.0009403608643523,0.2151519463565318,0.4348445402667305
Macrophage,SLC39A3,CIDP,9,11,0.0077701686824614,0.011518527755421,-0.0037483590729596,0.4188418104396186,0.546836524678056
Macrophage,TMEM175,Inflammatory_polyneuropathy,9,11,0.1256459339333517,0.1500150909952984,-0.0243691570619467,0.1488794936994691,0.4348445402667305
Mast,CDH4,CIDP,9,11,0.02350015102624,0.0504419762510042,-0.0269418252247642,0.405620459261189,1
Mast,DCTN1,Inflammatory_polyneuropathy,9,11,0.1396982746218056,0.0729134085108859,0.0667848661109197,0.4558594073362054,1
Mast,DGKQ,Inflammatory_polyneuropathy,9,11,0.0370976548343046,0.0496748321606601,-0.0125771773263555,0.8111397744761638,1
Mast,DIRAS1,CIDP,9,11,0,0,0,1,1
Mast,GLDC,Inflammatory_polyneuropathy,9,11,0.0515200518093548,0.0143371919724861,0.0371828598368687,0.5491100953433465,1
Mast,GNG7,CIDP,9,11,0.2006742946155734,0.1967796074666205,0.0038946871489528,0.8792283946861903,1
Mast,IDUA,Inflammatory_polyneuropathy,9,11,0.0372921471265058,0.0375249298984901,-0.0002327827719843,0.6681017054878096,1
Mast,ME1,Inflammatory_polyneuropathy,9,11,0.1079863087353226,0.0671826864012926,0.0408036223340299,0.3032340350300627,1
Mast,SLAMF9,Inflammatory_polyneuropathy,9,11,0,0,0,1,1
Mast,SLC39A3,CIDP,9,11,0,0.0090882001990344,-0.0090882001990344,0.2151519463565318,1
Mast,TMEM175,Inflammatory_polyneuropathy,9,11,0.1262486437164677,0.0778960557925183,0.0483525879239493,0.4934739223209335,1
Myelinating_SC,CDH4,CIDP,9,10,0.272636741456967,0.1958949339796237,0.0767418074773432,0.3074341659273953,0.7663359840068907
Myelinating_SC,DCTN1,Inflammatory_polyneuropathy,9,10,0.1083346245705102,0.1397212666345654,-0.0313866420640552,0.4876683534589304,0.7663359840068907
Myelinating_SC,DGKQ,Inflammatory_polyneuropathy,9,10,0.0233424786979274,0.0370527448162353,-0.0137102661183079,0.0304861569352633,0.3353477262878968
Myelinating_SC,DIRAS1,CIDP,9,10,0,0.0004342966051063,-0.0004342966051063,0.3990751965482372,0.7663359840068907
Myelinating_SC,GLDC,Inflammatory_polyneuropathy,9,10,1.6238458680041568,1.586744324885945,0.0371015431182117,0.9025232501776794,0.9927755751954472
Myelinating_SC,GNG7,CIDP,9,10,0.0412423353816407,0.055708913337747,-0.0144665779561062,0.5674585271954133,0.7802554748936934
Myelinating_SC,IDUA,Inflammatory_polyneuropathy,9,10,0.0530742176688254,0.0860283846416251,-0.0329541669727996,0.4622363104111856,0.7663359840068907
Myelinating_SC,ME1,Inflammatory_polyneuropathy,9,10,0.4158101947052529,0.6051073359814179,-0.1892971412761649,0.1309111278962908,0.7200112034295995
Myelinating_SC,SLAMF9,Inflammatory_polyneuropathy,9,10,0,0,0,1,1
Myelinating_SC,SLC39A3,CIDP,9,10,0.0265140600434935,0.0154736204410004,0.011040439602493,0.4604589726761191,0.7663359840068907
Myelinating_SC,TMEM175,Inflammatory_polyneuropathy,9,10,0.1711068455473305,0.1565700867902475,0.014536758757083,0.8382564863858263,0.9927755751954472
Nonmyelinating_SC,CDH4,CIDP,9,11,0.3125538188277662,0.1954410829079067,0.1171127359198595,0.2544505826463366,0.9394400080349974
Nonmyelinating_SC,DCTN1,Inflammatory_polyneuropathy,9,11,0.1255273971740505,0.1293681650516249,-0.0038407678775743,0.8792283946861903,0.9394400080349974
Nonmyelinating_SC,DGKQ,Inflammatory_polyneuropathy,9,11,0.012099623420042,0.0137206032586884,-0.0016209798386464,0.8197075378297883,0.9394400080349974
Nonmyelinating_SC,DIRAS1,CIDP,9,11,0.0013399406915935,0.001543727326826,-0.0002037866352324,0.8138372919965866,0.9394400080349974
Nonmyelinating_SC,GLDC,Inflammatory_polyneuropathy,9,11,0.035130609419698,0.0239373554975902,0.0111932539221078,0.3233200091339152,0.9394400080349974
Nonmyelinating_SC,GNG7,CIDP,9,11,0.1318899659585327,0.1179143777469115,0.0139755882116211,0.4474117020093185,0.9394400080349974
Nonmyelinating_SC,IDUA,Inflammatory_polyneuropathy,9,11,0.0393589861732533,0.036182666042289,0.0031763201309643,0.8792283946861903,0.9394400080349974
Nonmyelinating_SC,ME1,Inflammatory_polyneuropathy,9,11,0.0284984813856273,0.0293806439401212,-0.0008821625544939,0.8197075378297883,0.9394400080349974
Nonmyelinating_SC,SLAMF9,Inflammatory_polyneuropathy,9,11,0.0002382380116645,0.00004818346039928846,0.0001900545512653,0.3922900298229379,0.9394400080349974
Nonmyelinating_SC,SLC39A3,CIDP,9,11,0.0108681506176422,0.0095074307052667,0.0013607199123755,0.7039368960604941,0.9394400080349974
Nonmyelinating_SC,TMEM175,Inflammatory_polyneuropathy,9,11,0.1078769876172219,0.1052983814269378,0.002578606190284,0.9394400080349974,0.9394400080349974
Other_EC,CDH4,CIDP,9,11,0.0033285618354537,0.0154609513246831,-0.0121323894892294,0.0359779776839938,0.2213127241586767
Other_EC,DCTN1,Inflammatory_polyneuropathy,9,11,0.1316292368328498,0.1489827685801551,-0.0173535317473052,0.4033175651094832,0.6337847451720451
Other_EC,DGKQ,Inflammatory_polyneuropathy,9,11,0.0407071180419457,0.0517081048425389,-0.0110009868005932,0.1965119202345007,0.4323262245159015
Other_EC,DIRAS1,CIDP,9,11,0.0001770176741057,0.0003736104186616,-0.0001965927445558,0.7138944636164565,0.8725376777534468
Other_EC,GLDC,Inflammatory_polyneuropathy,9,11,0.024298673740353,0.0230274594294481,0.0012712143109049,0.8792283946861903,0.9671512341548092
Other_EC,GNG7,CIDP,9,11,0.1303623467902356,0.1740187934741781,-0.0436564466839424,0.0402386771197594,0.2213127241586767
Other_EC,IDUA,Inflammatory_polyneuropathy,9,11,0.0462735003275724,0.057273499719477,-0.0109999993919045,0.110612073748523,0.4055776037445844
Other_EC,ME1,Inflammatory_polyneuropathy,9,11,0.0251431139981177,0.020970107350183,0.0041730066479346,0.1488794936994691,0.4094186076735402
Other_EC,SLAMF9,Inflammatory_polyneuropathy,9,11,0,0,0,1,1
Other_EC,SLC39A3,CIDP,9,11,0.0223316819543935,0.0215085705637459,0.0008231113906476,0.4941245444092638,0.6794212485627377
Other_EC,TMEM175,Inflammatory_polyneuropathy,9,11,0.0965669579909165,0.1079926249763481,-0.0114256669854315,0.3233200091339152,0.5927533500788446
Pericyte_VSMC,CDH4,CIDP,9,11,0.0050151776010324,0.0130765932151276,-0.0080614156140951,0.1257621125392461,0.7205437075265025
Pericyte_VSMC,DCTN1,Inflammatory_polyneuropathy,9,11,0.1885177649000121,0.1572792477200685,0.0312385171799436,0.1488794936994691,0.7205437075265025
Pericyte_VSMC,DGKQ,Inflammatory_polyneuropathy,9,11,0.0297424436733479,0.0293513467383711,0.0003910969349768,0.8792283946861903,1
Pericyte_VSMC,DIRAS1,CIDP,9,11,0.0019157866202356,0.0013205716053095,0.000595215014926,0.5345969214602931,0.8400808765804607
Pericyte_VSMC,GLDC,Inflammatory_polyneuropathy,9,11,0.0068532758311024,0.0073530431255117,-0.0004997672944093,1,1
Pericyte_VSMC,GNG7,CIDP,9,11,0.0814270104466952,0.0815355516813685,-0.0001085412346732,0.8792283946861903,1
Pericyte_VSMC,IDUA,Inflammatory_polyneuropathy,9,11,0.0189497569203918,0.0267534603551468,-0.007803703434755,0.1965119202345007,0.7205437075265025
Pericyte_VSMC,ME1,Inflammatory_polyneuropathy,9,11,0.1944235747760332,0.207639640822579,-0.0132160660465457,0.9394400080349974,1
Pericyte_VSMC,SLAMF9,Inflammatory_polyneuropathy,9,11,0,0.0001555280619081,-0.0001555280619081,0.4213795037428696,0.772529090195261
Pericyte_VSMC,SLC39A3,CIDP,9,11,0.0154908051497531,0.0130838723572894,0.0024069327924636,0.3619347669211923,0.772529090195261
Pericyte_VSMC,TMEM175,Inflammatory_polyneuropathy,9,11,0.1065866949830634,0.1184541584434855,-0.0118674634604221,0.2874954188691684,0.772529090195261
Perineurium,CDH4,CIDP,9,11,0.0257137851354247,0.038708006527043,-0.0129942213916183,0.3619347669211923,0.9814244390675176
Perineurium,DCTN1,Inflammatory_polyneuropathy,9,11,0.1470485980866056,0.1399879386861393,0.0070606594004662,0.648503379652976,0.9814244390675176
Perineurium,DGKQ,Inflammatory_polyneuropathy,9,11,0.0254031533037235,0.0235976042278439,0.0018055490758795,0.7612079858009609,0.9814244390675176
Perineurium,DIRAS1,CIDP,9,11,0.0006962907959832,0.0004744851205108,0.0002218056754723,0.8029836319643325,0.9814244390675176
Perineurium,GLDC,Inflammatory_polyneuropathy,9,11,0.0095960242751894,0.0050860034965554,0.004510020778634,0.2537353959340376,0.932985469703234
Perineurium,GNG7,CIDP,9,11,0.1008338241535043,0.1080418090435448,-0.0072079848900405,0.9394400080349974,1
Perineurium,IDUA,Inflammatory_polyneuropathy,9,11,0.027470078714006,0.0340819461873868,-0.0066118674733807,0.2544505826463366,0.932985469703234
Perineurium,ME1,Inflammatory_polyneuropathy,9,11,0.3609460759017784,0.4289269934816096,-0.0679809175798312,0.0682474883780012,0.7507223721580141
Perineurium,SLAMF9,Inflammatory_polyneuropathy,9,11,0,0,0,1,1
Perineurium,SLC39A3,CIDP,9,11,0.0111682922776141,0.0092446320221971,0.0019236602554169,0.7612079858009609,0.9814244390675176
Perineurium,TMEM175,Inflammatory_polyneuropathy,9,11,0.1179145091420011,0.1261858013126413,-0.0082712921706402,0.7612079858009609,0.9814244390675176
Repair_damage_SC,CDH4,CIDP,9,11,0.3647682844078966,0.4072976974105634,-0.0425294130026667,0.3233200091339152,0.7113040200946135
Repair_damage_SC,DCTN1,Inflammatory_polyneuropathy,9,11,0.1609248616086138,0.2325229788394286,-0.0715981172308148,0.0805687565356306,0.4431281609459687
Repair_damage_SC,DGKQ,Inflammatory_polyneuropathy,9,11,0.0184832056730922,0.0206441284118309,-0.0021609227387386,0.4734557231948139,0.8680021591904921
Repair_damage_SC,DIRAS1,CIDP,9,11,0.0128010013136751,0.0152989143861514,-0.0024979130724762,0.9381259469527296,1
Repair_damage_SC,GLDC,Inflammatory_polyneuropathy,9,11,0.2017226395180694,0.1686977738392872,0.0330248656787821,0.5948534237883254,0.9347696659530828
Repair_damage_SC,GNG7,CIDP,9,11,0.2117949242561462,0.2083301233008168,0.0034648009553294,0.8197075378297883,1
Repair_damage_SC,IDUA,Inflammatory_polyneuropathy,9,11,0.0292177773317223,0.0435899323400495,-0.0143721550083272,0.1280681136856175,0.4695830835139308
Repair_damage_SC,ME1,Inflammatory_polyneuropathy,9,11,0.2275054547679845,0.1383565776972176,0.0891488770707668,0.2874954188691684,0.7113040200946135
Repair_damage_SC,SLAMF9,Inflammatory_polyneuropathy,9,11,0,0,0,1,1
Repair_damage_SC,SLC39A3,CIDP,9,11,0.0068548671734268,0.0073766339016322,-0.0005217667282054,0.7763221932565069,1
Repair_damage_SC,TMEM175,Inflammatory_polyneuropathy,9,11,0.0898706027352214,0.1246267081918042,-0.0347561054565827,0.033398146339218,0.3673796097313981
T_NK,CDH4,CIDP,9,11,0.0444348950000034,0.0358348580673722,0.0086000369326312,0.7561791984358317,1
T_NK,DCTN1,Inflammatory_polyneuropathy,9,11,0.1213166509526589,0.0574832603365806,0.0638333906160782,0.0801132907760783,0.8202547870170841
T_NK,DGKQ,Inflammatory_polyneuropathy,9,11,0.0956713475525148,0.1123628746910005,-0.0166915271384857,0.8493046339638395,1
T_NK,DIRAS1,CIDP,9,11,0,0,0,1,1
T_NK,GLDC,Inflammatory_polyneuropathy,9,11,0.0293851348907068,0.0226431782103324,0.0067419566803743,0.440257435859737,0.8202547870170841
T_NK,GNG7,CIDP,9,11,0.1002211171710797,0.1271763362071433,-0.0269552190360635,0.7323431191702683,1
T_NK,IDUA,Inflammatory_polyneuropathy,9,11,0.0709548885332987,0.0336588378032149,0.0372960507300838,0.244268955660198,0.8202547870170841
T_NK,ME1,Inflammatory_polyneuropathy,9,11,0.1410082207578729,0.0759618377421605,0.0650463830157123,0.4467274182046666,0.8202547870170841
T_NK,SLAMF9,Inflammatory_polyneuropathy,9,11,0,0,0,1,1
T_NK,SLC39A3,CIDP,9,11,0.0089537452785071,0.0171410155026685,-0.0081872702241614,0.2233623111600622,0.8202547870170841
T_NK,TMEM175,Inflammatory_polyneuropathy,9,11,0.1707150002726943,0.1591832736375436,0.0115317266351506,0.4474117020093185,0.8202547870170841
